job_title,routine_task_pct,creativity_score,social_skill_score,education_level,annual_salary_usd,ai_tool_exposure,years_experience,industry,risk_level
Warehouse Worker,0.773,0.148,0.082,1,41505,0.838,12,3,2
Telemarketer,0.93,0.114,0.295,1,28889,0.904,13,1,2
Software Engineer,0.196,0.762,0.645,4,125889,0.563,14,5,0
Nurse,0.373,0.44,0.966,2,74049,0.29,8,4,0
Graphic Designer,0.492,0.963,0.488,3,54776,0.645,9,7,1
Lawyer,0.376,0.781,0.7,4,135319,0.538,7,10,0
Marketing Manager,0.336,0.861,0.835,4,74587,0.574,4,7,0
Marketing Manager,0.172,0.802,0.816,4,93109,0.552,10,7,0
Telemarketer,0.854,0.152,0.331,1,31340,0.903,6,1,2
Financial Analyst,0.613,0.547,0.474,4,86201,0.64,12,2,1
Graphic Designer,0.444,0.747,0.515,2,52321,0.652,6,7,1
Radiologist,0.478,0.533,0.493,5,384032,0.745,1,4,1
Graphic Designer,0.371,0.959,0.485,3,47592,0.742,12,7,1
Marketing Manager,0.334,0.767,0.704,3,98726,0.567,5,7,0
Accountant,0.716,0.279,0.427,3,70905,0.79,12,2,2
Marketing Manager,0.261,0.858,0.827,4,86259,0.414,7,7,0
Lawyer,0.349,0.811,0.772,4,134868,0.612,4,10,0
Warehouse Worker,0.84,0.145,0.112,1,39370,0.854,10,3,2
Financial Analyst,0.586,0.687,0.456,3,86009,0.761,5,2,1
Warehouse Worker,0.828,0.173,0.162,1,43724,0.837,7,3,2
Pharmacist,0.514,0.493,0.701,4,150415,0.571,10,4,1
Lawyer,0.44,0.806,0.767,5,137627,0.544,10,10,0
Truck Driver,0.663,0.21,0.219,1,55623,0.732,2,3,2
Cook / Chef,0.527,0.674,0.336,1,38699,0.403,12,11,1
Security Guard,0.761,0.026,0.472,1,32475,0.67,4,12,2
Pharmacist,0.648,0.448,0.65,5,134416,0.549,8,4,1
Pharmacist,0.619,0.461,0.794,4,154113,0.7,7,4,1
Data Entry Clerk,0.802,0.135,0.142,1,33984,0.915,5,0,2
Pharmacist,0.464,0.489,0.623,4,119563,0.574,4,4,1
Financial Analyst,0.582,0.592,0.49,3,95263,0.704,10,2,1
HR Manager,0.492,0.594,0.691,3,78696,0.481,1,9,1
Research Scientist,0.164,1.0,0.593,4,104363,0.413,8,5,0
Financial Analyst,0.623,0.576,0.571,4,99608,0.735,4,2,1
Research Scientist,0.1,0.911,0.646,5,109635,0.388,7,5,0
Warehouse Worker,0.787,0.098,0.264,1,37668,0.818,3,3,2
Lawyer,0.334,0.69,0.702,4,131609,0.555,6,10,0
Cook / Chef,0.61,0.626,0.366,1,35524,0.334,9,11,1
Truck Driver,0.733,0.053,0.26,1,50627,0.753,6,3,2
Telemarketer,0.951,0.092,0.423,1,35701,0.963,3,1,2
Marketing Manager,0.276,0.822,0.833,3,87997,0.531,9,7,0
Research Scientist,0.08,0.927,0.453,4,131864,0.383,13,5,0
Research Scientist,0.171,0.959,0.535,5,109736,0.452,11,5,0
Radiologist,0.47,0.451,0.472,5,311966,0.712,15,4,1
Cook / Chef,0.536,0.626,0.335,2,35227,0.438,10,11,1
Pharmacist,0.603,0.5,0.672,4,141714,0.545,9,4,1
Customer Service Rep,0.865,0.1,0.452,2,35033,0.898,13,1,2
HR Manager,0.472,0.561,0.83,4,65391,0.594,0,9,1
Financial Analyst,0.535,0.582,0.493,3,81875,0.627,5,2,1
Truck Driver,0.677,0.142,0.212,1,48008,0.746,12,3,2
Telemarketer,0.87,0.207,0.484,1,25596,0.942,8,1,2
Customer Service Rep,0.796,0.1,0.568,1,39538,0.841,5,1,2
Security Guard,0.819,0.054,0.263,1,32251,0.683,10,12,2
Data Entry Clerk,1.0,0.067,0.075,1,34164,0.963,9,0,2
Cook / Chef,0.548,0.63,0.454,1,38220,0.401,0,11,1
Research Scientist,0.249,0.916,0.617,5,117417,0.446,2,5,0
Customer Service Rep,0.856,0.178,0.632,1,36416,0.879,9,1,2
HR Manager,0.457,0.54,0.755,3,71965,0.452,2,9,1
Financial Analyst,0.529,0.4,0.498,4,89482,0.707,9,2,1
Radiologist,0.56,0.574,0.537,4,296103,0.716,7,4,1
HR Manager,0.442,0.53,0.815,3,87765,0.546,6,9,1
Radiologist,0.487,0.641,0.634,4,266571,0.668,11,4,1
HR Manager,0.506,0.572,0.733,3,85569,0.437,10,9,1
Financial Analyst,0.739,0.633,0.524,4,87278,0.633,0,2,1
Data Entry Clerk,0.906,0.149,0.193,1,35422,0.917,7,0,2
Security Guard,0.753,0.025,0.351,1,30209,0.656,8,12,2
Security Guard,0.791,0.133,0.308,1,33036,0.664,8,12,2
Teacher,0.257,0.553,0.936,4,53661,0.161,7,6,0
Software Engineer,0.405,0.676,0.448,4,90257,0.498,12,5,1
Teacher,0.225,0.844,0.994,3,56151,0.264,6,6,0
Warehouse Worker,0.801,0.12,0.167,1,39448,0.882,11,3,2
Accountant,0.768,0.298,0.39,2,67872,0.713,8,2,2
Security Guard,0.721,0.099,0.354,1,28170,0.735,11,12,2
Nurse,0.386,0.482,1.0,3,66768,0.291,6,4,0
Teacher,0.207,0.708,0.851,4,67058,0.215,7,6,0
Financial Analyst,0.661,0.43,0.458,4,101121,0.666,6,2,1
Telemarketer,0.89,0.069,0.391,1,29363,0.951,11,1,2
Customer Service Rep,0.87,0.205,0.651,1,34322,0.921,8,1,2
Customer Service Rep,0.862,0.095,0.708,2,34802,0.855,6,1,2
Security Guard,0.689,0.068,0.369,1,29115,0.692,14,12,2
Customer Service Rep,0.719,0.099,0.546,2,32945,0.883,9,1,2
Radiologist,0.566,0.577,0.563,5,333879,0.611,10,4,1
Financial Analyst,0.668,0.426,0.504,4,96124,0.736,8,2,1
Data Entry Clerk,0.893,0.079,0.137,1,36908,0.935,7,0,2
Lawyer,0.377,0.83,0.802,5,145653,0.611,8,10,0
Data Entry Clerk,1.0,0.122,0.088,1,30423,0.964,14,0,2
Social Worker,0.148,0.434,0.971,3,58896,0.218,5,8,0
Marketing Manager,0.363,0.838,0.75,3,96529,0.498,7,7,0
Pharmacist,0.474,0.41,0.599,4,135205,0.595,7,4,1
Nurse,0.429,0.369,0.86,2,55665,0.342,11,4,1
Software Engineer,0.296,0.741,0.588,4,117363,0.558,8,5,0
Radiologist,0.5,0.548,0.557,4,277713,0.635,10,4,1
Customer Service Rep,0.859,0.16,0.637,1,35776,0.868,6,1,2
HR Manager,0.402,0.562,0.759,4,61865,0.534,3,9,1
Security Guard,0.839,0.0,0.375,1,32810,0.703,7,12,2
Social Worker,0.128,0.408,0.956,4,48835,0.047,9,8,0
Software Engineer,0.33,0.873,0.46,3,123397,0.595,0,5,1
Teacher,0.28,0.682,1.0,4,68071,0.236,12,6,0
Graphic Designer,0.325,0.913,0.502,3,59835,0.656,2,7,1
Cook / Chef,0.606,0.694,0.487,1,43907,0.336,3,11,1
Security Guard,0.758,0.046,0.447,1,22609,0.676,12,12,2
Accountant,0.638,0.33,0.434,3,79419,0.815,9,2,2
Teacher,0.258,0.758,0.803,3,54678,0.257,12,6,0
Radiologist,0.501,0.59,0.543,4,289118,0.745,0,4,1
Research Scientist,0.187,1.0,0.608,5,129333,0.336,9,5,0
Social Worker,0.304,0.468,0.901,4,44012,0.105,3,8,0
Telemarketer,0.9,0.105,0.393,1,33114,0.953,5,1,2
Lawyer,0.249,0.771,0.781,5,123242,0.483,10,10,0
Data Entry Clerk,0.94,0.045,0.104,1,33240,0.957,9,0,2
Security Guard,0.737,0.046,0.352,1,32909,0.699,7,12,2
Social Worker,0.214,0.59,0.949,4,59676,0.21,10,8,0
Cook / Chef,0.583,0.676,0.52,1,32574,0.376,7,11,1
Graphic Designer,0.46,0.924,0.36,3,55334,0.668,10,7,1
Social Worker,0.316,0.531,0.93,4,46399,0.141,1,8,0
Nurse,0.376,0.569,1.0,2,72958,0.362,9,4,0
Teacher,0.258,0.723,0.928,4,52575,0.156,10,6,0
Security Guard,0.654,0.137,0.402,1,28227,0.669,7,12,2
Marketing Manager,0.313,0.79,0.807,4,69964,0.511,1,7,0
Pharmacist,0.611,0.371,0.658,5,134606,0.653,4,4,1
Lawyer,0.318,0.853,0.717,4,126513,0.577,13,10,0
Customer Service Rep,0.757,0.123,0.591,1,30857,0.871,4,1,2
Lawyer,0.312,0.863,0.63,4,126736,0.638,7,10,0
Truck Driver,0.73,0.031,0.178,1,48419,0.763,8,3,2
Social Worker,0.125,0.536,0.886,4,44089,0.238,3,8,0
Truck Driver,0.654,0.137,0.22,1,48688,0.829,11,3,2
Lawyer,0.397,0.766,0.805,4,128328,0.546,4,10,0
Software Engineer,0.307,0.732,0.614,5,116465,0.567,7,5,0
Telemarketer,0.847,0.229,0.435,1,35893,0.954,6,1,2
Radiologist,0.553,0.676,0.605,4,303382,0.69,0,4,1
Customer Service Rep,0.737,0.112,0.588,2,43164,0.772,8,1,2
Radiologist,0.562,0.44,0.532,4,269505,0.7,2,4,1
Financial Analyst,0.613,0.551,0.499,3,99815,0.698,5,2,1
Research Scientist,0.247,1.0,0.572,4,97843,0.362,1,5,0
Marketing Manager,0.326,0.875,0.785,4,100685,0.441,13,7,0
Cook / Chef,0.528,0.614,0.33,1,33914,0.409,7,11,1
Security Guard,0.722,0.173,0.407,1,31287,0.675,4,12,2
Graphic Designer,0.386,0.836,0.437,3,48062,0.575,13,7,1
HR Manager,0.434,0.454,0.756,4,65756,0.506,4,9,1
Customer Service Rep,0.755,0.109,0.558,1,30645,0.884,12,1,2
Lawyer,0.358,0.853,0.688,4,113025,0.607,11,10,0
Truck Driver,0.683,0.138,0.138,1,55930,0.778,3,3,2
Financial Analyst,0.657,0.456,0.627,3,96383,0.605,7,2,1
Marketing Manager,0.291,0.875,0.867,4,82190,0.459,5,7,0
Graphic Designer,0.391,0.94,0.611,3,42172,0.635,2,7,1
Marketing Manager,0.263,0.917,0.733,4,95874,0.567,7,7,0
HR Manager,0.356,0.472,0.712,4,66186,0.514,6,9,1
Teacher,0.324,0.807,1.0,4,64528,0.259,10,6,0
Telemarketer,0.844,0.142,0.276,1,32737,0.787,7,1,2
HR Manager,0.377,0.575,0.733,4,76545,0.476,9,9,0
HR Manager,0.434,0.573,0.903,3,88072,0.47,14,9,1
Lawyer,0.445,0.856,0.889,4,143537,0.588,6,10,0
Customer Service Rep,0.867,0.191,0.659,2,42398,0.869,15,1,2
Lawyer,0.41,0.744,0.808,4,147376,0.521,6,10,0
Customer Service Rep,0.794,0.107,0.581,1,37218,0.759,9,1,2
Data Entry Clerk,0.909,0.0,0.21,1,40247,0.915,5,0,2
Teacher,0.175,0.685,1.0,4,59614,0.278,5,6,0
Nurse,0.494,0.443,0.91,2,86567,0.43,10,4,1
Accountant,0.553,0.321,0.333,3,80787,0.796,17,2,2
Cook / Chef,0.543,0.635,0.303,1,34262,0.278,8,11,1
Marketing Manager,0.288,0.864,0.788,3,94081,0.598,9,7,0
Security Guard,0.745,0.139,0.426,1,35195,0.677,3,12,2
Graphic Designer,0.449,0.984,0.515,3,45566,0.684,7,7,1
HR Manager,0.424,0.52,0.736,4,79291,0.521,5,9,1
Truck Driver,0.722,0.173,0.095,1,40814,0.781,0,3,2
Radiologist,0.482,0.61,0.465,4,344807,0.716,5,4,1
Data Entry Clerk,0.944,0.131,0.025,1,37144,0.929,13,0,2
HR Manager,0.427,0.556,0.887,3,71197,0.556,13,9,1
Pharmacist,0.596,0.435,0.559,5,137586,0.675,8,4,1
Teacher,0.28,0.699,0.896,4,56224,0.231,4,6,0
Data Entry Clerk,0.98,0.15,0.138,1,40616,0.924,7,0,2
Software Engineer,0.242,0.81,0.581,4,101773,0.624,10,5,0
HR Manager,0.429,0.468,0.758,4,86506,0.515,9,9,1
Teacher,0.241,0.693,0.974,3,63418,0.272,6,6,0
Radiologist,0.596,0.508,0.568,4,222570,0.641,6,4,1
Telemarketer,0.879,0.0,0.402,1,34171,0.82,16,1,2
Cook / Chef,0.655,0.701,0.424,1,32193,0.541,13,11,1
Graphic Designer,0.384,0.87,0.503,3,59691,0.636,0,7,1
Financial Analyst,0.571,0.534,0.507,3,98074,0.661,1,2,1
Cook / Chef,0.606,0.61,0.415,1,31823,0.425,5,11,1
Software Engineer,0.314,0.767,0.614,4,112710,0.694,1,5,1
Teacher,0.259,0.642,0.927,4,60371,0.225,7,6,0
Software Engineer,0.286,0.737,0.51,3,132349,0.602,2,5,1
Radiologist,0.469,0.581,0.512,4,327822,0.695,10,4,1
HR Manager,0.503,0.486,0.787,3,75926,0.557,10,9,1
Radiologist,0.526,0.561,0.468,5,355703,0.692,6,4,1
Telemarketer,0.831,0.063,0.35,1,30090,0.809,11,1,2
Data Entry Clerk,0.919,0.045,0.182,1,29949,0.909,7,0,2
Radiologist,0.568,0.501,0.642,5,322449,0.657,4,4,1
Financial Analyst,0.592,0.589,0.584,4,85768,0.655,10,2,1
Radiologist,0.442,0.567,0.493,4,294080,0.755,9,4,1
Cook / Chef,0.548,0.681,0.43,1,28864,0.366,5,11,1
Teacher,0.228,0.695,1.0,4,56578,0.297,5,6,0
Truck Driver,0.83,0.14,0.196,1,55453,0.719,7,3,2
Customer Service Rep,0.723,0.317,0.648,1,42668,0.841,10,1,2
Accountant,0.652,0.285,0.354,2,64470,0.74,6,2,2
Cook / Chef,0.661,0.613,0.486,1,28855,0.378,5,11,1
Teacher,0.254,0.764,0.85,3,51908,0.195,9,6,0
HR Manager,0.485,0.53,0.8,4,63723,0.607,8,9,1
Financial Analyst,0.559,0.513,0.485,4,88914,0.619,8,2,1
Teacher,0.181,0.717,0.94,4,52047,0.281,9,6,0
Cook / Chef,0.565,0.673,0.442,1,31490,0.326,15,11,1
Teacher,0.26,0.821,1.0,3,58610,0.283,14,6,0
HR Manager,0.507,0.562,0.9,3,82873,0.54,7,9,1
Cook / Chef,0.597,0.632,0.405,1,38659,0.423,7,11,1
Radiologist,0.502,0.545,0.59,4,344015,0.681,12,4,1
Truck Driver,0.608,0.215,0.187,1,44462,0.797,7,3,2
Radiologist,0.493,0.57,0.573,4,303493,0.713,9,4,1
Teacher,0.212,0.673,0.964,4,51415,0.185,4,6,0
Data Entry Clerk,0.838,0.228,0.189,1,38972,1.0,12,0,2
Marketing Manager,0.252,0.764,0.834,3,101113,0.456,4,7,0
Telemarketer,0.946,0.189,0.452,1,31071,0.892,7,1,2
Marketing Manager,0.296,0.648,0.797,3,92947,0.513,5,7,0
Teacher,0.337,0.6,0.973,4,62793,0.213,4,6,0
Customer Service Rep,0.779,0.185,0.606,2,34009,0.818,9,1,2
Security Guard,0.775,0.017,0.429,1,30447,0.656,8,12,2
Cook / Chef,0.552,0.758,0.358,1,34299,0.398,6,11,1
Warehouse Worker,0.823,0.038,0.114,1,43918,0.798,2,3,2
Radiologist,0.527,0.468,0.696,4,333168,0.69,8,4,1
Security Guard,0.847,0.09,0.413,1,31705,0.628,5,12,2
Marketing Manager,0.237,0.765,0.863,3,77809,0.454,16,7,0
Data Entry Clerk,0.884,0.067,0.248,1,37053,0.953,2,0,2
Cook / Chef,0.439,0.647,0.385,1,34800,0.397,9,11,1
Telemarketer,0.944,0.174,0.339,1,29756,0.949,1,1,2
Financial Analyst,0.624,0.515,0.444,2,90456,0.697,4,2,2
Software Engineer,0.304,0.79,0.637,3,136500,0.543,11,5,0
Pharmacist,0.666,0.448,0.56,5,148820,0.551,4,4,1
Telemarketer,0.818,0.187,0.376,1,34097,0.99,13,1,2
Radiologist,0.442,0.618,0.364,5,358639,0.663,6,4,1
Graphic Designer,0.375,0.884,0.456,3,56710,0.666,12,7,1
Pharmacist,0.674,0.428,0.661,3,122244,0.638,6,4,1
Cook / Chef,0.522,0.628,0.527,1,34957,0.403,5,11,1
Nurse,0.221,0.364,0.761,2,88926,0.299,5,4,0
Financial Analyst,0.569,0.566,0.575,4,97346,0.622,5,2,1
Social Worker,0.176,0.541,0.985,4,55559,0.205,7,8,0
HR Manager,0.433,0.607,0.772,3,92834,0.495,7,9,1
Accountant,0.667,0.402,0.42,3,78123,0.806,12,2,2
Graphic Designer,0.3,0.951,0.574,2,48874,0.663,2,7,1
Social Worker,0.19,0.487,1.0,3,51136,0.215,7,8,0
Security Guard,0.686,0.039,0.311,1,36482,0.716,5,12,2
Nurse,0.321,0.45,0.784,2,72832,0.243,5,4,0
Customer Service Rep,0.817,0.068,0.619,2,37011,0.92,12,1,2
Telemarketer,0.954,0.136,0.501,1,31939,0.943,10,1,2
Lawyer,0.392,0.847,0.863,5,135540,0.501,16,10,0
Teacher,0.23,0.731,1.0,4,62251,0.263,13,6,0
Marketing Manager,0.388,0.78,0.761,4,92487,0.49,8,7,0
Pharmacist,0.602,0.344,0.576,4,121987,0.585,6,4,1
Lawyer,0.384,0.837,0.717,4,142381,0.549,10,10,0
Truck Driver,0.754,0.073,0.181,1,46394,0.714,6,3,2
Financial Analyst,0.632,0.457,0.477,3,100050,0.82,11,2,2
Radiologist,0.451,0.61,0.598,5,321408,0.717,9,4,1
Financial Analyst,0.569,0.367,0.532,3,81525,0.712,12,2,1
Nurse,0.248,0.48,0.966,2,67691,0.311,5,4,0
HR Manager,0.497,0.553,0.759,3,79168,0.573,12,9,1
Cook / Chef,0.577,0.744,0.411,1,30997,0.366,7,11,1
Cook / Chef,0.594,0.735,0.453,1,31685,0.415,13,11,1
Security Guard,0.715,0.019,0.346,1,30680,0.597,5,12,2
Customer Service Rep,0.806,0.189,0.573,2,31357,0.943,4,1,2
Warehouse Worker,0.692,0.033,0.049,1,41708,0.879,8,3,2
Pharmacist,0.594,0.373,0.645,5,112841,0.575,9,4,1
Teacher,0.219,0.656,0.997,3,51690,0.259,11,6,0
Customer Service Rep,0.852,0.007,0.55,1,36426,0.84,7,1,2
Accountant,0.637,0.316,0.419,2,67831,0.688,5,2,2
Telemarketer,0.891,0.098,0.483,1,25622,0.865,14,1,2
Data Entry Clerk,0.901,0.069,0.152,1,34709,0.98,7,0,2
Financial Analyst,0.654,0.522,0.56,3,89933,0.678,4,2,1
Graphic Designer,0.311,0.769,0.497,2,48354,0.641,13,7,1
Research Scientist,0.133,0.939,0.674,5,128062,0.489,10,5,0
Graphic Designer,0.326,0.914,0.538,2,45201,0.628,11,7,1
Security Guard,0.896,0.137,0.465,1,28700,0.681,10,12,2
Warehouse Worker,0.826,0.001,0.272,1,38509,0.802,0,3,2
Warehouse Worker,0.834,0.186,0.085,1,43031,0.794,6,3,2
Data Entry Clerk,0.824,0.17,0.156,1,30709,0.951,9,0,2
HR Manager,0.438,0.536,0.786,3,86465,0.488,10,9,1
Financial Analyst,0.609,0.626,0.497,3,88693,0.688,6,2,1
Cook / Chef,0.594,0.805,0.45,1,32431,0.428,6,11,1
Accountant,0.689,0.276,0.313,2,79134,0.646,8,2,2
Teacher,0.171,0.765,0.984,3,47680,0.286,1,6,0
Marketing Manager,0.305,0.734,0.752,3,79020,0.497,15,7,0
HR Manager,0.461,0.628,0.813,3,89325,0.453,13,9,1
Cook / Chef,0.545,0.651,0.424,1,31354,0.396,0,11,1
Warehouse Worker,0.731,0.108,0.271,1,37876,0.727,5,3,2
Cook / Chef,0.578,0.655,0.412,1,34919,0.375,7,11,1
Warehouse Worker,0.765,0.12,0.118,1,42620,0.814,7,3,2
Security Guard,0.778,0.079,0.284,1,32317,0.629,11,12,2
Truck Driver,0.625,0.12,0.201,1,51927,0.807,20,3,2
Pharmacist,0.625,0.525,0.625,5,132158,0.609,13,4,1
Warehouse Worker,0.734,0.106,0.117,1,34943,0.861,2,3,2
Radiologist,0.455,0.607,0.486,5,368545,0.643,8,4,1
Nurse,0.398,0.432,0.977,3,67779,0.291,2,4,0
Security Guard,0.613,0.056,0.312,2,36601,0.775,6,12,2
Cook / Chef,0.549,0.747,0.505,1,34261,0.374,9,11,1
Accountant,0.646,0.372,0.398,3,50639,0.775,10,2,2
Telemarketer,0.879,0.098,0.313,2,34362,0.942,4,1,2
Radiologist,0.505,0.523,0.437,4,370532,0.709,2,4,1
Financial Analyst,0.596,0.569,0.492,4,99279,0.64,9,2,1
HR Manager,0.537,0.556,0.775,3,71252,0.467,9,9,1
Financial Analyst,0.503,0.55,0.42,5,75415,0.66,8,2,1
Social Worker,0.178,0.434,0.893,3,48566,0.248,8,8,0
Graphic Designer,0.387,0.983,0.583,3,64533,0.619,0,7,1
Accountant,0.557,0.32,0.339,2,63125,0.771,2,2,2
Telemarketer,0.921,0.139,0.337,1,29820,0.907,11,1,2
Graphic Designer,0.463,0.9,0.559,2,58239,0.703,7,7,1
Pharmacist,0.635,0.35,0.672,4,117166,0.687,7,4,1
Teacher,0.19,0.601,0.961,4,55192,0.239,7,6,0
Social Worker,0.221,0.42,0.803,3,49228,0.198,8,8,0
HR Manager,0.482,0.548,0.752,3,65219,0.539,8,9,1
Social Worker,0.193,0.493,1.0,4,52094,0.0,9,8,0
Nurse,0.251,0.436,0.933,2,80859,0.239,12,4,0
HR Manager,0.503,0.654,0.758,4,81461,0.422,5,9,1
Financial Analyst,0.551,0.55,0.435,3,101907,0.729,9,2,1
Security Guard,0.674,0.058,0.489,1,25677,0.614,7,12,2
Software Engineer,0.269,0.836,0.57,4,133486,0.604,0,5,0
Lawyer,0.359,0.837,0.75,4,135220,0.592,6,10,0
Nurse,0.389,0.362,0.898,3,91536,0.333,4,4,0
Lawyer,0.318,0.681,0.81,5,145708,0.558,5,10,0
Nurse,0.294,0.572,0.989,4,65839,0.311,2,4,0
Software Engineer,0.233,0.849,0.651,3,110183,0.606,5,5,0
Accountant,0.613,0.4,0.329,2,71438,0.772,12,2,2
Data Entry Clerk,0.853,0.155,0.132,1,33743,0.985,7,0,2
Financial Analyst,0.729,0.539,0.547,4,103652,0.732,9,2,1
Software Engineer,0.266,0.66,0.536,4,115295,0.601,9,5,1
Accountant,0.589,0.285,0.415,1,66503,0.805,7,2,2
Security Guard,0.711,0.103,0.306,1,30842,0.676,12,12,2
Marketing Manager,0.189,0.838,0.845,3,109757,0.432,2,7,0
Social Worker,0.164,0.502,0.914,3,58080,0.099,0,8,0
Cook / Chef,0.514,0.587,0.459,2,28592,0.319,13,11,1
Software Engineer,0.164,0.741,0.535,5,126519,0.51,5,5,0
Accountant,0.647,0.415,0.411,3,59848,0.771,5,2,2
Telemarketer,0.703,0.034,0.419,1,35375,0.888,6,1,2
HR Manager,0.408,0.495,0.787,3,71727,0.531,3,9,1
Warehouse Worker,0.869,0.094,0.075,1,34415,0.804,10,3,2
Social Worker,0.252,0.514,0.918,3,47158,0.158,5,8,0
Warehouse Worker,0.921,0.103,0.185,1,34865,0.79,13,3,2
HR Manager,0.297,0.502,0.778,4,76739,0.548,6,9,0
Software Engineer,0.384,0.795,0.537,3,124225,0.675,3,5,1
Security Guard,0.763,0.0,0.36,1,29204,0.714,2,12,2
Financial Analyst,0.552,0.501,0.57,3,115255,0.733,0,2,1
Truck Driver,0.753,0.228,0.174,1,49800,0.857,8,3,2
Customer Service Rep,0.888,0.157,0.586,1,39696,0.867,12,1,2
Security Guard,0.722,0.15,0.196,1,34184,0.69,11,12,2
Software Engineer,0.337,0.798,0.528,3,112661,0.639,5,5,1
Cook / Chef,0.601,0.7,0.344,1,28636,0.403,8,11,1
Lawyer,0.38,0.768,0.833,5,133497,0.611,16,10,0
Social Worker,0.167,0.549,0.99,3,42548,0.187,5,8,0
Pharmacist,0.704,0.386,0.67,4,126745,0.64,14,4,1
Data Entry Clerk,0.935,0.07,0.001,1,35269,0.891,14,0,2
Data Entry Clerk,0.854,0.172,0.163,1,36983,0.886,1,0,2
Data Entry Clerk,0.913,0.0,0.188,1,32362,0.976,0,0,2
Accountant,0.671,0.33,0.43,3,77074,0.79,9,2,2
Nurse,0.26,0.329,0.936,2,65718,0.243,10,4,0
Graphic Designer,0.28,0.877,0.384,2,48114,0.588,8,7,1
Lawyer,0.365,0.8,0.731,5,132966,0.617,5,10,0
Data Entry Clerk,0.953,0.025,0.332,1,42113,0.937,8,0,2
Accountant,0.652,0.343,0.399,2,69201,0.825,12,2,2
Lawyer,0.376,0.861,0.666,4,144322,0.601,8,10,0
Graphic Designer,0.425,0.91,0.529,2,50482,0.697,7,7,1
Data Entry Clerk,0.8,0.115,0.16,1,31637,0.911,13,0,2
Accountant,0.622,0.41,0.49,3,70493,0.792,4,2,2
Financial Analyst,0.531,0.483,0.522,4,91650,0.735,12,2,1
Lawyer,0.399,0.774,0.6,4,115527,0.498,10,10,0
HR Manager,0.464,0.504,0.839,4,73552,0.498,6,9,1
Cook / Chef,0.609,0.645,0.455,2,35260,0.298,5,11,1
Accountant,0.531,0.298,0.309,3,72003,0.765,7,2,2
Graphic Designer,0.316,0.865,0.46,3,57624,0.62,13,7,1
Social Worker,0.251,0.468,0.997,4,56834,0.187,10,8,0
Warehouse Worker,0.88,0.049,0.151,1,44379,0.785,9,3,2
Telemarketer,0.907,0.0,0.405,1,28967,0.968,10,1,2
HR Manager,0.533,0.527,0.876,3,89089,0.509,9,9,1
Teacher,0.214,0.78,0.869,3,63608,0.214,9,6,0
Financial Analyst,0.633,0.567,0.616,4,89424,0.729,11,2,1
Marketing Manager,0.305,0.807,0.767,3,89983,0.573,5,7,0
Cook / Chef,0.513,0.706,0.372,2,36910,0.316,5,11,1
Customer Service Rep,0.946,0.142,0.632,1,39651,0.921,5,1,2
HR Manager,0.419,0.637,0.777,3,75904,0.54,10,9,1
HR Manager,0.36,0.559,0.764,4,71094,0.461,0,9,0
Customer Service Rep,0.83,0.213,0.592,2,36675,0.856,6,1,2
Data Entry Clerk,0.917,0.043,0.15,1,36212,0.94,14,0,2
HR Manager,0.374,0.53,0.763,3,67828,0.556,14,9,1
Lawyer,0.303,0.82,0.708,4,136229,0.583,5,10,0
Warehouse Worker,0.734,0.103,0.114,1,39513,0.832,16,3,2
Marketing Manager,0.302,0.823,0.687,2,102057,0.375,9,7,0
Accountant,0.64,0.334,0.503,3,60492,0.741,4,2,2
Radiologist,0.416,0.546,0.525,5,285940,0.721,11,4,1
Cook / Chef,0.538,0.584,0.486,1,26069,0.493,13,11,1
Software Engineer,0.277,0.78,0.506,4,108954,0.643,8,5,1
Data Entry Clerk,0.917,0.011,0.095,1,31521,1.0,4,0,2
Research Scientist,0.13,0.953,0.559,5,113180,0.432,14,5,0
Graphic Designer,0.334,0.945,0.399,2,58210,0.687,10,7,1
Accountant,0.632,0.324,0.42,3,70327,0.727,12,2,2
Graphic Designer,0.404,1.0,0.501,3,54632,0.645,4,7,1
Teacher,0.33,0.653,0.908,3,68350,0.242,2,6,0
Warehouse Worker,0.77,0.107,0.008,1,35148,0.811,12,3,2
HR Manager,0.386,0.52,0.91,4,85691,0.579,8,9,1
Accountant,0.637,0.427,0.39,2,60906,0.689,11,2,2
Security Guard,0.77,0.14,0.399,1,34849,0.752,7,12,2
Social Worker,0.256,0.556,1.0,3,43251,0.141,6,8,0
Graphic Designer,0.386,0.88,0.54,3,49448,0.652,13,7,1
Lawyer,0.396,0.744,0.821,4,144692,0.577,6,10,0
Telemarketer,0.796,0.108,0.375,1,30198,0.839,7,1,2
Warehouse Worker,0.736,0.074,0.176,1,34495,0.929,10,3,2
HR Manager,0.542,0.596,0.889,3,80475,0.508,9,9,1
Radiologist,0.583,0.579,0.58,5,335665,0.679,6,4,1
Truck Driver,0.674,0.04,0.215,1,52300,0.807,10,3,2
Security Guard,0.75,0.142,0.357,1,26552,0.705,5,12,2
Financial Analyst,0.568,0.575,0.423,3,85942,0.723,7,2,1
Security Guard,0.767,0.079,0.31,1,32962,0.769,6,12,2
Pharmacist,0.553,0.457,0.629,5,125987,0.597,9,4,1
Social Worker,0.326,0.381,0.952,4,46401,0.182,3,8,0
Customer Service Rep,0.792,0.091,0.722,2,42172,0.875,6,1,2
Graphic Designer,0.496,0.984,0.413,2,54823,0.658,5,7,1
